product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,date
Zuckermais ,https://offer-images.api.edeka/c0480d05-c61c-43c4-91cb-1bbd2ad28c93_Maiskolben_iq.png?imwidth=3840&imdensity=1,,"frisch, vorgegart, aus Spanien, 2 Stück, Packung",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Edeka deli Snackschale „Caesar“ ,https://offer-images.api.edeka/8c213d17-1754-4c9c-a07f-9f3055c084db_4311532063552_PER.png?imwidth=3840&imdensity=1,,280-g-Schale,,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Donnerstag bis Samstag: Pfifferlinge frisch ,https://offer-images.api.edeka/c6a5a598-7573-4a48-996d-1ee376c4017d_Fotolia_33384882_XXL_PLUS.png?imwidth=3840&imdensity=1,,"aus Serbien, 100 g",SUPERKNÜLLER,0.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Donnerstag bis Samstag: EDEKA Zwiebeln ,https://offer-images.api.edeka/04fc8ba2-78a8-4d16-aad1-94b4f7492bad_4311527156382_VOR.tif.png?imwidth=3840&imdensity=1,,"aus Neuseeland, Klasse I, 1-kg-Netz",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Donnerstag bis Samstag: Kopfsalat ,https://offer-images.api.edeka/4f75e7eb-a49e-4a28-b0ac-9b386e764069_KW19_Kopfsalat_1_PL.png?imwidth=3840&imdensity=1,,"aus Deutschland, Klasse I, Stück",SUPERKNÜLLER,0.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Donnerstag bis Samstag: Gut & Günstig Gurken ,https://offer-images.api.edeka/ff42f909-c4ac-4b54-9703-9eae3dff805b_028_iq.png?imwidth=3840&imdensity=1,,"aus Spanien oder den Niederlanden, Klasse I, Stück",SUPERKNÜLLER,0.39,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Donnerstag bis Samstag: SanLucar Zitronen ,https://offer-images.api.edeka/dbbad28b-6bba-4edf-bc1d-faa27dbbb909_Girsack_Zitronen_Nemo.png?imwidth=3840&imdensity=1,,"aus Spanien, Klasse I, 500-g-Netz
 
• Schale zum Verzehr geeignet",SUPERKNÜLLER,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Gut & Günstig Möhren ,https://offer-images.api.edeka/d643a23d-569a-4946-839e-45f93c296785_80245328-GG_MOEHREN_DE_I_2KG_BT-A_retusche.png?imwidth=3840&imdensity=1,,"aus Deutschland, Klasse I, 2-kg-XXL-Beutel",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
,,,,,,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Müller Froop ,https://offer-images.api.edeka/31b45dea-3090-4e58-8837-b07fc86b721f_Froop_-_Himbeere_auf_Joghurt.png?imwidth=3840&imdensity=1,,"verschiedene Sorten, 150-g-Becher",SUPERKNÜLLER,0.33,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
