product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,from_to_date
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00886976.html,,,,,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst",
WIESENHOF Bruzzzler,https://kaufland.media.schwarz/is/image/schwarz/00161224?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00161224.html,je 350 - 400-g-Packg. (1 kg = 9.48 - 10.83),"
			KNÜLLER
					",3.79 ,"Geflügel-Bratwürste, versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
CAMPOFRIO Chorizo-Griller,https://kaufland.media.schwarz/is/image/schwarz/00966454?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00966454.html,je 330-g-Packg. (1 kg = 10.58),"
			-30%
					",3.49 ,"nach span. Art, mild oder scharf","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
HEIDEGRUND Fleischwurst,https://kaufland.media.schwarz/is/image/schwarz/00012809?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00012809.html,je 500-g-Stück (1 kg = 4.78),"
			KNÜLLER
					",2.39 ,auch mit Knoblauch verfeinert,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-CLASSIC Bayr. Leberkäse,https://kaufland.media.schwarz/is/image/schwarz/00178640_P_480442?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00178640.html,je 2 x 200-g-Packg. (1 kg = 7.48),"
			KNÜLLER
					",2.99 ,"versch. Sorten,ofengebacken","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-CLASSIC Curry-Bockwurst,https://kaufland.media.schwarz/is/image/schwarz/00906830_P_741714?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00906830.html,3 St. = 540-g-Packg. (1 kg = 5.54),"
			-25%
					",2.99 ,"in Eigenhaut, knackig und würzig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
MONTORSI Prosciutto Cotto,https://kaufland.media.schwarz/is/image/schwarz/00122689?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00122689.html,120-g-Packg. (1 kg = 19.09),"
			-39%
					",2.29 ,ital. Kochschinken,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01082244.html,,,,,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst",
K-CLASSIC Bacon-Scheiben,https://kaufland.media.schwarz/is/image/schwarz/01121800?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01121800.html,100-g-Packg. (1 kg = 11.10),"
			KNÜLLER
					",1.11 ,"roher Bauchspeck, gepökelt und geräuchert","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
HEIDEGRUND Mettwurst,https://kaufland.media.schwarz/is/image/schwarz/00011768?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00011768.html,je Packg. = 2 x 100-g-Portionen (1 kg = 9.95),"
			-20%
					",1.99 ,"Zwiebelmettwurst, auch in fettreduziert,oder Pfeffermettwurst","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
