product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Chovi Allioli Knoblauch Dip,https://offer-images.api.edeka/89f8a584-4395-4934-95f2-48002b93462c_8410422000670_ALLIOLI_KNOBLAUCH_150ML.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,150-ml-Becher,Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Grillkäse-Spieße,https://offer-images.api.edeka/0b05a26d-a8ed-4195-a352-4bc6227f9098_2865_Grillkaese_Gemuesespiesse_Kraeuterb_V2_OF.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"Grillkäse, mind. 40% Fett i. Tr., mit verschiedenem Gemüse in einer feinen Marinade, 100 g
 
• Aus eigener Herstellung",Kein Etikett,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Grillspieße Scamorzine,https://offer-images.api.edeka/d1bf9885-5e0d-437d-9327-43627fc2b514_Grillspiess_SCAMORZINE_2.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"mit Buchenholz geräucherte Pasta Filata, mind. 47% Fett i. Tr., mit Landschinken und Zucchini, 100 g
 
• Aus eigener Herstellung",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Géramont original französischer Weichkäse,https://offer-images.api.edeka/c02b6533-9b48-426d-b606-6edbc5baf137_3161710000678.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"mind. 60% Fett i. Tr., 200 g und weitere Sorten, Packung",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Géramont Scheiben,https://offer-images.api.edeka/ffdba843-fbb3-40fe-8ad5-5eb75f7ce781_3090291116044.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"sahnig-mild, mind. 60% Fett i. Tr., 150 g und weitere Sorten, Packung",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Exquisa Frischkäse,https://offer-images.api.edeka/a9833c11-e8f6-43f2-804e-fd0365355db6_147450009-EXQUISA_PUR_70_200G.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, z. B. der Sahnige 200 g, Becher",SUPERKNÜLLER,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Miree Frischkäsezubereitung,https://offer-images.api.edeka/9f2a6b72-0d4d-42c4-a48f-a2d0439de9f6_40193083_VOR.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, z. B. Kräuter 150 g, Becher",Kein Etikett,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Westland Old Amsterdam in Scheiben Das Original kräftig & herzhaft,https://offer-images.api.edeka/f0fcfa98-2ef1-4c6e-b538-cafde8d2cfb7_OA_ZB_PLAKKEN_DU_DAS_ORIGINAL_FL820140_FRONT_LR.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"mind. 48% Fett i. Tr., 125-g-Packung",Kein Etikett,2.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Saint Albray,https://offer-images.api.edeka/a94d4525-d65c-477c-8cfe-ef049f7e1572_Saint_Albray_Gourmand_0001_300dpi_ECI_RGB_v2.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"mind. 56% Fett i. Tr., Chaumes, mind. 51% Fett i. Tr., französischer Weichkäse, würzig oder Saint Agur, französischer Edelpilz-Weichkäse, mind. 60% Fett i. Tr., mild, 100 g",SUPERKNÜLLER,1.79,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Bio-Heublumenrebell,https://offer-images.api.edeka/88bc58af-33f6-479c-a8a6-640c6c54ff26_3419686007_KAESE_REBELLEN_BIO_HEUBLUMEN_REBELL_CA.3KG.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"österreichischer Schnittkäse, mind. 50% Fett i. Tr., mit Bio- Heublumen affiniert und weitere Sorten, 100 g",Kein Etikett,2.79,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
