product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
ELITE Zaziki oder Kräuterquark,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/27688993.png/jcr:content/27688993.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/elite-zaziki-oder-kraeuterquark,,"je 200-g-Packung

								(1 kg = 3.30)",Preisknaller,0.66,Verschiedene Fettstufen,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
GRILLPARTY Frische Puten-Filetspieße*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/30805584.png/jcr:content/30805584.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/grillparty-frische-puten-filetspiesse,,"je 350-g-Packung

								(1 kg = 11.40)",Aktion,3.99,"Mariniert, Paprika-Joghurt, im Frischfleischregal",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
EBERSWALDER Holzfäller Bratwurst-Mix*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/22628764.png/jcr:content/22628764.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/eberswalder-holzfaeller-bratwurst-mix,,"je 720-g-Packung

								(1 kg = 6.93)",Aktion,4.99,,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
MESSNER Bratwürstel*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/39615929.png/jcr:content/39615929.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/messner-bratwuerstel,,"je 330-g-Packung

								(1 kg = 10.58)",Aktion,3.49,,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
MARKTLIEBE Bratpaprika,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/27954430_01.png/jcr:content/27954430_01.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/marktliebe-bratpaprika,,"je 200-g-Packung

								(1 kg = 4.95)",-23%,0.99,"Spanien, Marokko, Kl. I",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
MARKTLIEBE Deutsche bunte Salate mit Wurzel*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/12993220.png/jcr:content/12993220.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/marktliebe-deutsche-bunte-salate-mit-wurzel,,je Stück,Aktion,0.99,,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
BÄCKERKRÖNUNG Grillbrot,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/35962134.png/jcr:content/35962134.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/baeckerkroenung-grillbrot,,"je 300-g-Stück

								(1 kg = 3.30)",-23%,0.99,Aus unserer Backstation,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
PHILADELPHIA Frischkäsezubereitung,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/770460.png/jcr:content/770460.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/philadelphia-frischkaesezubereitung,,"je 175-g-Packung

								(1 kg = 5.66)",-54%,0.99,Verschiedene Sorte und Fettstufen,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
GREENLAND Sommerfrüchte*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/35105149.png/jcr:content/35105149.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/greenland-sommerfruechte,,"je 550-g-Glas

								(1 kg = 7.55)",Aktion,2.49,"Mit Zitrone oder Orange, gezuckert, Abtropfgewicht = 330 g",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
THOMY Dressing*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/32588750.png/jcr:content/32588750.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/thomy-dressing,,"je 350-ml-Flasche

								(1 Liter = 4.83)",Aktion,1.69,Feige Senf oder mediterrane Kräuter,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
HEINZ Tomato Ketchup*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/29486901.png/jcr:content/29486901.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/heinz-tomato-ketchup,,"je 570-ml-Flasche

								(1 Liter = 3.49)",Aktion,1.99,,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
HEINZ Mayonnaise*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/29486901_01.png/jcr:content/29486901_01.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/heinz-mayonnaise,,"je 565-ml-Flasche

								(1 Liter = 3.52)",Aktion,1.99,,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
BAUTZ’NER Senf*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/38391152.png/jcr:content/38391152.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/bautzner-senf,,"je 500-ml-Flasche

								(1 Liter = 3.18)",Aktion,1.59,Mittelscharf,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
LANGNESE Eis Kids Mix,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/38330319.png/jcr:content/38330319.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/langnese-eis-kids-mix,,"je 398-ml-Packung

								(1 Liter = 7.51)",25%,2.99,,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
LANGNESE Eis Klassiker Mix,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/38330319_01.png/jcr:content/38330319_01.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/langnese-eis-klassiker-mix,,"je 482-ml-Packung

								(1 Liter = 6.20)",25%,2.99,,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
PENNY Ketchup,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/KW27_Ketchup.png/jcr:content/KW27_Ketchup.png,,https://www.penny.de/angebote/an-den-grill-fertig-los/penny-ketchup,,"Preis mit Coupon: 1.49 €, Preis ohne Coupon: 1.89 €, je 500ml-Flasche",App Coupon,1.49*,"Gültig vom 3.7.2023 bis 8.7.2023
• Preis mit Coupon: 1.49 €
• Preis ohne Coupon: 1.89 €
• Je 500ml-Flasche
• Grundpreis mit App Coupon: 1l = 2.98 €
• Grundpreis ohne App Coupon: 1l = 3.78 €",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,"An den Grill, fertig, los",2023-07-06
LOACKER Waffeln*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/39185748.png/jcr:content/39185748.png,,https://www.penny.de/angebote/suessigkeiten-und-snacks/loacker-waffeln,,"je 262,5-g-Packung

								(1 kg = 7.58)",-26%,1.99,"+ 50 % gratis
Verschiedene Sorten",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Süßigkeiten & Snacks,2023-07-06
KELLOGG’S Pop Tarts*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/32136238.png/jcr:content/32136238.png,,https://www.penny.de/angebote/suessigkeiten-und-snacks/kelloggs-pop-tarts,,"je 384-g-Packung

								(1 kg = 9.61)",-26%,3.69,Chocotastic oder Strawberry Sensation,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Süßigkeiten & Snacks,2023-07-06
WRIGLEY’S Airwaves*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-27/food/36325582.png/jcr:content/36325582.png,,https://www.penny.de/angebote/suessigkeiten-und-snacks/wrigleys-airwaves,,je 4 x 10-Stück-Packung,-21%,1.49,Verschiedene Sorten,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Süßigkeiten & Snacks,2023-07-06
