product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store
Knorr Fix Lachs-Sahne Gratin,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/1014514/9696820-40_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#1014514,,"je 28-g-Btl , (1 kg = 15.71)",Aktion,"0,44 €","je 28-g-Btl , (1 kg = 15.71)",Im Weiher 14,Rewe
Thomy Delikatess Senf,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0101486/3144530-55_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#101486,,"mittelscharf , je 200-ml-Tube , (1 l = 5.00)",Aktion,"1,00 €","mittelscharf , je 200-ml-Tube , (1 l = 5.00)",Im Weiher 14,Rewe
Knorr Spaghetteria Spinaci,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/7783107/36243694-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7783107,,"je 160-g-Btl , (1 kg = 6.25)",Aktion,"1,00 €","je 160-g-Btl , (1 kg = 6.25)",Im Weiher 14,Rewe
Mars Balisto,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0565983/2673180-65_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#565983,,"Korn , je 9 x 18,5-g-Pckg , (1 kg = 9.55)",Knaller,"1,59 €","Korn , je 9 x 18,5-g-Pckg , (1 kg = 9.55)",Im Weiher 14,Rewe
Mars Twix,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/1309833/16883250-33_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#1309833,,"je 5 x 50-g-Pckg , (1 kg = 6.36)",Knaller,"1,59 €","je 5 x 50-g-Pckg , (1 kg = 6.36)",Im Weiher 14,Rewe
Haribo Fruchtgummi oder Lakritz,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/5067898/9221160-62_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#5067898,,"versch. Sorten , je 1-kg-Dose",Knaller,"4,44 €","versch. Sorten , je 1-kg-Dose",Im Weiher 14,Rewe
Tuc Cracker,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0215147/1197720-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#215147,,"versch. Sorten , je 100-g-Pckg , (1 kg = 7.90)",Knaller,"0,79 €","versch. Sorten , je 100-g-Pckg , (1 kg = 7.90)",Im Weiher 14,Rewe
Brandt Hobbits,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0808652/24413870-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#808652,,"kernig, Hafer-Mürbekeks , je 250-g-Pckg , (1 kg = 4.00)",Aktion,"1,00 €","kernig, Hafer-Mürbekeks , je 250-g-Pckg , (1 kg = 4.00)",Im Weiher 14,Rewe
Coppenrath Feingebäck Wiener Sandringe,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/4819373/3619850-15_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#4819373,,"je 200-g-Pckg , (1 kg = 6.45)",Aktion,"1,29 €","je 200-g-Pckg , (1 kg = 6.45)",Im Weiher 14,Rewe
Pez Spender,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/5416523/3487580-71_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#5416523,,"versch. Motive zum Sammeln mit 3 fruchtigen Nachfüllern , je 25,5-g-Pckg , (1 kg = 58.43)",Aktion,"1,49 €","versch. Motive zum Sammeln mit 3 fruchtigen Nachfüllern , je 25,5-g-Pckg , (1 kg = 58.43)",Im Weiher 14,Rewe
